"RXCUI","NDC","YEAR","MONTH"
897980,"0268-0199-10",1975,1
897980,"0268-0199-30",1975,1
898322,"0268-0202-30",1975,1
308022,"0268-0205-10",1975,1
308022,"0268-0205-30",1975,1
849923,"0268-0247-05",1989,10
637557,"0268-0248-05",1989,10
348010,"0268-0268-10",1992,9
348010,"0268-0268-30",1992,9
348009,"0268-0269-05",1992,9
348009,"0268-0269-10",1992,9
348008,"0268-0274-05",1992,9
348008,"0268-0274-10",1992,9
348008,"0268-0274-30",1992,9
852825,"0268-0275-10",1991,7
852825,"0268-0275-30",1991,7
852825,"0268-0275-50",1991,7
852813,"0268-0276-10",1991,7
852813,"0268-0276-30",1991,7
852813,"0268-0276-50",1991,7
852829,"0268-0277-10",1990,8
852829,"0268-0277-30",1990,8
852829,"0268-0277-50",1990,8
1014384,"0268-0278-10",1990,8
1014384,"0268-0278-30",1990,8
1014384,"0268-0278-50",1990,8
852157,"0268-0279-10",1997,12
852157,"0268-0279-50",1997,12
851997,"0268-0280-10",1997,12
851997,"0268-0280-50",1997,12
853047,"0268-0281-10",1997,12
853047,"0268-0281-50",1997,12
851881,"0268-0282-10",1997,12
851881,"0268-0282-50",1997,12
853278,"0268-0283-10",1997,12
853278,"0268-0283-50",1997,12
852837,"0268-0284-10",1997,12
852837,"0268-0284-50",1997,12
851873,"0268-0285-10",1997,12
851873,"0268-0285-50",1997,12
853029,"0268-0286-10",1997,12
853029,"0268-0286-50",1997,12
851901,"0268-0287-10",1997,12
851901,"0268-0287-50",1997,12
851901,"0268-0288-10",1997,12
853027,"0268-0289-10",1997,12
853027,"0268-0289-50",1997,12
852822,"0268-0290-10",1997,12
852822,"0268-0290-50",1997,12
851921,"0268-0291-10",1997,12
851921,"0268-0291-50",1997,12
851921,"0268-0292-10",1997,12
851921,"0268-0292-50",1997,12
897496,"0268-0293-10",1997,12
897496,"0268-0293-30",1997,12
897496,"0268-0293-50",1997,12
895290,"0268-0603-10",1965,1
895290,"0268-0603-50",1965,1
895295,"0268-0604-10",1965,1
895298,"0268-0605-10",1965,1
852259,"0268-0606-30",1965,1
966928,"0268-0609-10",1965,1
966928,"0268-0609-50",1965,1
966958,"0268-0612-10",1965,1
895300,"0268-0615-10",1965,1
895300,"0268-0615-50",1965,1
895036,"0268-0616-10",1965,1
895030,"0268-0617-10",1965,1
895034,"0268-0618-05",1965,1
