"NDC","YEAR","MONTH"
"0023-3616-05",2009,1
"0023-3616-16",2009,1
"0023-3616-70",2009,1
"0023-3616-71",2009,1
"0023-3616-80",2009,1
"0023-3616-81",2009,1
"0023-3670-60",2009,6
"0023-3670-90",2009,6
"0023-3919-50",2008,7
"0023-3919-51",2008,7
"0023-3921-02",2010,1
"0023-3921-03",2010,1
"0023-4290-01",2010,11
"0023-4290-03",2010,11
"0023-4307-03",2011,11
"0023-4307-10",2011,11
"0023-4307-20",2011,11
"0023-4385-05",1986,7
"0023-4385-10",1986,7
"0023-4385-15",1986,7
"0023-4491-05",2013,1
"0023-4491-30",2013,1
"0023-4554-05",1989,10
"0023-4554-30",1989,10
"0023-4857-45",2013,6
"0023-4948-05",2013,1
"0023-4965-02",2013,1
"0023-5206-30",2016,2
"0023-5206-60",2016,2
"0023-5206-90",2016,2
"0023-5300-30",2017,1
"0023-5300-60",2017,1
"0023-5301-01",2016,11
"0023-5301-05",2016,11
"0023-5459-02",2015,9
"0023-5459-10",2015,9
"0023-5773-05",2017,5
"0023-5773-30",2017,5
"0023-5812-30",2017,4
"0023-5853-00",2016,5
"0023-5853-18",2016,5
"0023-5858-01",2016,5
"0023-5861-11",2017,4
"0023-5862-30",2016,5
"0023-5868-05",2016,5
"0023-5869-10",2016,5
"0023-5870-24",2016,8
"0023-5870-80",2016,8
"0023-5874-30",2016,6
"0023-5874-32",2016,6
"0023-5874-84",2016,6
"0023-5874-90",2016,6
"0023-5885-12",2002,4
"0023-5886-15",1996,12
"0023-5887-17",1996,12
"0023-5888-11",1996,12
"0023-5901-18",2008,5
"0023-5902-04",2000,6
"0023-5904-12",2001,6
"0023-5906-23",2010,3
"0023-5920-05",2015,1
"0023-5970-05",2006,11
"0023-5990-60",1995,9
"0023-5992-30",1995,9
"0023-6002-01",2016,5
"0023-6011-60",2009,4
"0023-6012-60",2009,4
"0023-6013-60",2009,4
"0023-6014-60",2012,5
"0023-6015-60",2009,4
"0023-6016-60",2009,4
"0023-6017-60",2009,4
"0023-6018-60",2009,4
"0023-6019-60",2009,4
"0023-6021-01",2013,3
"0023-6021-05",2013,3
"0023-6022-01",2013,3
"0023-6022-05",2013,3
"0023-6030-03",2011,12
"0023-6082-10",1974,4
"0023-6110-01",2017,10
"0023-6111-01",2017,10
"0023-6112-01",2017,8
"0023-6113-01",2017,10
"0023-6114-01",2017,10
"0023-6115-01",2017,10
"0023-6116-01",2017,10
"0023-6118-03",1997,3
"0023-6142-30",2009,3
"0023-6142-90",2009,3
"0023-6145-01",1987,12
"0023-6147-30",2009,3
"0023-6150-04",1997,5
"0023-6151-08",1997,5
"0023-6153-08",2003,2
"0023-7824-10",1990,1
"0023-8335-03",1997,8
"0023-8335-10",1997,8
"0023-8335-15",1997,8
"0023-8694-30",1996,3
"0023-8694-50",1996,3
"0023-8842-05",2000,2
"0023-9155-15",2000,11
"0023-9155-30",2000,11
"0023-9155-60",2000,11
"0023-9156-15",2000,11
"0023-9156-30",2000,11
"0023-9156-60",2000,11
"0023-9163-12",2003,4
"0023-9163-30",2003,4
"0023-9163-60",2003,4
"0023-9177-05",2001,7
"0023-9177-10",2001,7
"0023-9177-15",2001,7
"0023-9201-05",2004,1
"0023-9205-02",2001,10
"0023-9205-03",2001,10
"0023-9205-15",2001,10
"0023-9211-03",2007,11
"0023-9211-05",2007,11
"0023-9211-10",2007,11
"0023-9211-15",2007,11
"0023-9232-02",2008,5
"0023-9236-30",2003,1
"0023-9277-05",2003,8
"0023-9321-03",2006,1
"0023-9321-05",2006,1
"0023-9321-10",2006,1
"0023-9321-15",2006,1
"0024-0335-04",1942,11
"0024-0335-05",2013,4
"0024-0337-04",1942,11
"0024-0337-05",2012,5
"0024-0590-10",2006,6
"0024-0591-20",2006,6
"0024-2792-10",2011,3
"0024-2794-10",2014,7
"0024-4142-10",2009,7
"0024-4142-50",2009,7
"0024-4142-60",2009,7
"0024-5150-10",2002,7
"0024-5151-75",2006,6
"0024-5401-31",1993,4
"0024-5421-31",1993,4
"0024-5421-50",1993,4
"0024-5501-10",2005,9
"0024-5501-31",2005,9
"0024-5521-10",2005,9
"0024-5521-31",2005,9
"0024-5521-50",2005,9
"0024-5745-02",2016,7
"0024-5747-02",2016,7
"0024-5761-05",2016,11
